"Date","Price","Open","High","Low","Change %"
"06/10/2025","1.680","1.784","1.784","1.681","0.00%"
"06/09/2025","1.680","1.740","1.740","1.686","-0.59%"
"06/06/2025","1.690","1.743","1.743","1.692","0.60%"
"06/05/2025","1.680","1.748","1.748","1.694","-1.18%"
"06/04/2025","1.700","1.743","1.743","1.702","0.00%"
"06/03/2025","1.700","1.740","1.740","1.691","0.00%"
"05/30/2025","1.700","1.765","1.765","1.697","-0.58%"
"05/29/2025","1.710","1.750","1.750","1.715","0.00%"
"05/28/2025","1.710","1.792","1.792","1.700","2.40%"
"05/27/2025","1.670","1.740","1.740","1.684","-1.18%"
"05/26/2025","1.690","1.730","1.730","1.684","1.20%"
"05/23/2025","1.670","1.688","1.727","1.686","-1.18%"
"05/22/2025","1.690","1.716","1.716","1.675","1.81%"
"05/21/2025","1.660","1.715","1.715","1.664","-0.60%"
"05/20/2025","1.670","1.705","1.705","1.654","0.00%"
"05/19/2025","1.670","1.715","1.715","1.671","0.60%"
"05/16/2025","1.660","1.756","1.756","1.673","-0.60%"
"05/15/2025","1.670","1.683","1.698","1.668","0.00%"
"05/14/2025","1.670","1.710","1.710","1.665","0.60%"
"05/13/2025","1.660","1.720","1.720","1.663","0.61%"
"05/12/2025","1.650","1.680","1.680","1.638","1.23%"
"05/09/2025","1.630","1.678","1.678","1.627","0.00%"
"05/08/2025","1.630","1.685","1.685","1.627","-0.61%"
"05/07/2025","1.640","1.680","1.680","1.616","0.61%"
"05/06/2025","1.630","1.670","1.670","1.625","0.62%"
"04/30/2025","1.620","1.670","1.670","1.623","-0.61%"
"04/29/2025","1.630","1.693","1.693","1.629","-1.21%"
"04/28/2025","1.650","1.660","1.670","1.646","-0.60%"
"04/27/2025","1.660","1.675","1.757","1.655","0.00%"
"04/25/2025","1.660","1.675","1.675","1.655","0.00%"
"04/24/2025","1.660","1.710","1.710","1.651","0.00%"
"04/23/2025","1.660","1.660","1.680","1.655","0.61%"
"04/22/2025","1.650","1.709","1.709","1.648","-0.60%"
"04/21/2025","1.660","1.695","1.695","1.649","0.61%"
"04/18/2025","1.650","1.700","1.700","1.646","0.61%"
"04/17/2025","1.640","1.688","1.688","1.639","0.00%"
"04/16/2025","1.640","1.675","1.693","1.635","-0.61%"
